PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom
P-44338,2K18 - Sumac & Garlic Potatoes,21.0,Kg,,21000.0,g
P-43744,2K18 - Thai Larb (Pork),6.5,Kg,FEAST,6500.0,g
P-44639,ADDlSoutheast Braised Beef,35.0,Kg,FEAST,35000.0,g
P-65630,AQlCreme Caramel,6.0,PTN,,918.0,g
P-65625,AQlCreme Caramel(Flan),1.0,L,,1000.0,ml
P-65629,AQlCremeCaramel(Caramel),100.0,ml,,100.0,ml
P-65590,AQlMiso Marinade,1.34,L,,1340.0,ml
P-65591,AQlSalmon Miso,1.0,piece,,227.0,g
P-65594,AQlTofu Marinade,223.0,ml,,223.0,ml
P-67545,BAKED|4 Cheese Penne,12.0,Kg,,12000.0,g
P-71855,BAKED|Basil puff pastry,300.0,each,,16200.0,g
P-26184,BAKED|Beans,9.0,Kg,PREP,9000.0,g
P-56706,BAKED|Fish Greek Style,1.0,Kg,,1000.0,g
P-26965,BAKED|Jalapeno Ched Cornbread,15.0,Kg,PREP,1440.0,g
P-67674,BAKED|Loaded Sweet Potatoes,6.0,each,,780.0,g
P-54666,BAKED|Pasta|Chicken Alfredo,6.176,Kg,,6176.0,g
P-54664,BAKED|Pasta|Chorizo Penne,7.36,Kg,,7360.0,g
P-56502,BAKED|Pasta|Shrimp Pesto,6.75,Kg,,6750.0,g
P-26318,BAKED|Puff Pastry,10.0,ea,ZDONT USE OK - PREP,490.0,g
P-51235,BAKED|Rockfish,4.5,Kg,,4500.0,g
P-54572,BAKED|Rockfish Escovitch(Test),4.5,Kg,,4500.0,g
P-67284,BAKED|Russet Potato,100.0,each,,17000.0,g
P-56372,BATCH| Carne Asada ,1.0,Kg,PRODUCTION FOOD,1000.0,g
P-56399,BATCH| Cilantro lime Rice ,730.0,g,,730.0,g
P-56826,BATCH| Crab cake|SLIDER,840.0,g,SEAFOOD,840.0,g
P-41321,BATCH| Fish Batter 2.0,1.2,L,FEAST,1200.0,ml
P-56559,BATCH| Glazed Beans ,453.593,g,,453.593,g
P-56406,BATCH| Herbed Quinoa ,1.0,Kg,,1000.0,g
P-56409,BATCH| Mushroom Pot Pie|FILL  ,9.5,Kg,,9500.0,g
P-56433,BATCH| Shrimp Remoulade ,1.6,Kg,,1600.0,g
P-43206,BATCH| SMOOTHIE| Mango|16oz,4.0,PTN,,453.592,g
P-56373,BATCH| Street Corn|ELOTE,2.3,Kg,,2300.0,g
P-56387,BATCH| Szechuan Green Beans ,500.0,g,,500.0,g
P-67553,BATCH|3 Bean Flautas,60.0,each,,4260.0,g
P-67544,BATCH|4 Cheese Sauce,16.5,L,,16500.0,ml
P-71170,BATCH|Achiote Chicken|COOKED,35.0,Kg,,35000.0,g
P-56953,BATCH|Bannock AR,12.0,each,,2268.0,g
P-53246,BATCH|Barley Lentil Pilaf|POP,6.0,Kg,,6000.0,g
P-44751,BATCH|BBQ Hoisin Sauce,1.0,L,PREP,1000.0,ml
P-47328,BATCH|BBQ salmon ,140.0,PTN,,31780.0,g
P-56621,BATCH|Beef Bourguignon,3.5,Kg,,3500.0,g
P-71427,BATCH|Beef Sausage roll,60.0,each,,4560.0,g
P-56828,BATCH|Beef Slider Mix,5.0,Kg,,5000.0,g
P-60377,BATCH|Beyond Bread Pudding,2.25,Kg,,2250.0,g
P-68129,BATCH|Beyond Hash,2.2,Kg,,2200.0,g
P-61845,BATCH|Bircher Muesli|VEGAN,2.5,Kg,,2500.0,g
P-56334,BATCH|Black Bean Hash|VEGAN,3.1,Kg,,3100.0,g
P-67663,BATCH|Black Bean Hummus,550.0,g,,550.0,g
P-26682,BATCH|Black/White Sesame Seeds,907.186,g,PREP,907.186,g
P-56479,BATCH|Blood Orange Preserve AR,2.0,L,,2000.0,ml
P-56430,BATCH|Blueberry Compote ,375.0,ml,,375.0,ml
P-56992,BATCH|Braised Kale,1.9,Kg,,1900.0,g
P-67591,BATCH|Buffalo Chicken Thigh,20.0,Kg,,20000.0,g
P-26847,BATCH|Butter Chicken (Thigh),90.0,Kg,PREP,90000.0,g
P-44422,BATCH|Butter Chicken Base,50.0,L,PREP,50000.0,ml
P-61876,BATCH|Buttermilk Fried Chicken,5.0,Kg,,5000.0,g
P-56113,BATCH|Cabbage & Apple braise,5.5,Kg,,5500.0,g
P-71425,BATCH|Calabacitas,2.5,Kg,,2500.0,g
P-71458,BATCH|Camarones Diabla,1.0,Kg,PRODUCTION FOOD,1000.0,g
P-67599,BATCH|Cauli&Broccoli Gratain,2.0,Kg,,2000.0,g
P-71508,BATCH|Cauliflower Ceviche,2.5,Kg,PREP,2500.0,g
P-61907,BATCH|Cauliflower Sloppy Joes,1.0,Kg,,1000.0,g
P-56699,BATCH|Cauliflower Wings|Baked,1.0,Kg,,1000.0,g
P-31944,BATCH|Cereal Congee,3.0,L,PREP,3000.0,ml
P-68232,BATCH|Chaat Salad 2.0,1.6,Kg,,1600.0,g
P-56768,BATCH|Chana Masala ,8.0,Kg,,8000.0,g
P-71581,BATCH|Chapati|VEGAN,8.0,each,PREP,320.0,g
P-67833,BATCH|Chicken Biryani ,2.2,Kg,,2200.0,g
P-67836,BATCH|Chicken Tikka Masala,1.2,Kg,,1200.0,g
P-67550,BATCH|Chicken Tinga,1.2,Kg,PRODUCTION FOOD,1200.0,g
P-68227,BATCH|Chickpea Vindaloo,1.3,Kg,,1300.0,g
P-27316,BATCH|Chili Con Carne,15.0,Kg,PREP,15000.0,g
P-56909,BATCH|Chili Garlic Tofu ,1.1,Kg,,1100.0,g
P-71362,BATCH|Chille Relleno Casserole,25.0,Kg,,25000.0,g
P-33866,BATCH|Chipotle Chicken|BUENO,16.0,Kg,PREP,16000.0,g
P-67921,BATCH|Chocolate Quinoa Bowl,900.0,g,,900.0,g
P-56544,BATCH|Chopped Thai Salad|BASE,2.6,Kg,,2600.0,g
P-26333,BATCH|Citrus Herb Aioli,3.0,L,PREP,3000.0,ml
P-67183,BATCH|Classic Coleslaw,1.5,Kg,,1500.0,g
P-45692,BATCH|Classic Fried Rice ,9.5,Kg,,9500.0,g
