PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom
P-61901,ADD|Gomae|broccoli,120.0,g,,120.0,g
P-57304,ADD|Pasta accoutresmonts| +2,150.0,g,,150.0,g
P-47540,Alfredo- 2018,15.0,L,PREP,15000.0,ml
P-46066,Almond Milk Yeild ,900.0,ml,,900.0,ml
P-49557,ALMOND UNSALTED CUP,1.0,cup,PREP,236.588125,ml
P-8814,Aoli- RoastedGarlic Thyme,1.1,L,,1100.0,ml
P-49605,APPLE|Cubed ,75.0,g,,75.0,g
P-46871,Arancini- dredge,1.5,Kg,,1500.0,g
P-26184,BAKED|Beans,9.0,Kg,PREP,9000.0,g
P-55682,BAKED|Beans|FF,10.0,Kg,PREP,10000.0,g
P-54666,BAKED|Pasta|Chicken Alfredo,6.176,Kg,,6176.0,g
P-54664,BAKED|Pasta|Chorizo Penne,7.36,Kg,,7360.0,g
P-48759,BANANA CHIP CUP G&G,1.0,cup,PREP,236.588125,ml
P-70055,BASIC|Egg Omelette|AAD,1.0,each,,1.0,each
P-44724,BASIC|Omelett|Egg White,1.0,each,,1.0,each
P-41321,BATCH| Fish Batter 2.0,1.2,L,FEAST,1200.0,ml
P-27317,BATCH|3 Bean Vegetable Chili,21.0,Kg,PREP,21000.0,g
P-26682,BATCH|Black/White Sesame Seeds,907.186,g,PREP,907.186,g
P-68381,BATCH|Brocco Wings|Baked,1.0,Kg,,1000.0,g
P-56699,BATCH|Cauliflower Wings|Baked,1.0,Kg,,1000.0,g
P-55945,BATCH|Chaat Salad,1.5,Kg,,1500.0,g
P-64163,Batch|Chicken Burger|Shoyu,7.65,Kg,PREP,7650.0,g
P-68227,BATCH|Chickpea Vindaloo,1.2,Kg,PREP,1200.0,g
P-26333,BATCH|Citrus Herb Aioli,3.0,L,PREP,3000.0,ml
P-53598,BATCH|Coleslaw mix,1.5,Kg,,1500.0,g
P-56629,BATCH|Corn Succotash,2.7,Kg,,2700.0,g
P-56398,BATCH|Guacamole,4.5,Kg,PREP,4500.0,g
P-44643,BATCH|Hashbrown|GRL,2.0,Kg,,2000.0,g
P-26075,BATCH|Jalapeno Cilantro Slaw,5.0,Kg,PREP,5000.0,g
P-56427,BATCH|Olive Tapenade ,350.0,g,,350.0,g
P-58350,BATCH|Pumpkin Coconut Sauce,5.0,L,,5000.0,ml
P-43729,BATCH|Shoyu Chicken Thigh,7.65,Kg,PREP,7650.0,g
P-56698,BATCH|Tofu Lardons,1.0,Kg,,1000.0,g
P-56763,BATCH|Vegan Blanco sauce|MC,0.75,L,,750.0,ml
P-69680,BATCH|ZucStick|Baked,1.0,Kg,,1000.0,g
P-56700,BATTER|Cauliflower Wings,1.0,L,,1000.0,ml
P-15353,BATTER|Tempura,5.0,L,PREP,5000.0,ml
P-44752,BBQ Farmers lunch chicken,120.0,g,,120.0,g
P-47328,BBQ|salmon ,140.0,PTN,,140.0,PTN
P-47705,BC Mushroom Quinoa Bowl,1.0,each,,1.0,each
P-29190,Bean-Mixed Ragout Prep,15.0,Kg,,15000.0,g
P-45097,Beans-GarbanzoYeild,1.9,Kg,,1900.0,g
P-7636,Beans-Kidney Yeild,1.9,Kg,,1900.0,g
P-37867,Beans-Romano Prep,5.0,Kg,,5000.0,g
P-49155,BEEF|SHVD inside round|Pho|FLX,6.0,Kg,,6000.0,g
P-22761,BEV|Juice Bulk|Apple,18.62,L,,18620.0,ml
P-22764,BEV|Juice Bulk|Orange,15.96,L,,15960.0,ml
P-22768,BEV|Pop|Bulk|Coke Diet,120.0,L,,120000.0,ml
P-62687,BEV|Pop|Bulk|Coke Zero,60.0,L,,60000.0,ml
P-64865,big chicken wing|GRL,9.9,Kg,,9900.0,g
P-52941,BISQUE|Coconut| taco Prawn|FLX,0.5,L,,500.0,ml
P-49760,BLANCHED|Sprouts Spinach,0.2,Kg,,200.0,g
P-61843,BNO|Burrito Vegetables|VEGAN,0.5,Kg,,500.0,g
P-26047,BOILED|Hard Boiled Eggs FT,50.0,ea,PREP,2500.0,g
P-49607,BONES|Halibut|Bouillabaisse ,35.0,L,,35000.0,ml
P-61995,BOUQETGARNIS|bay rosmur thyme,600.0,g,,600.0,g
P-53001,BOUQETGARNIS|lemongrass thyme,600.0,g,,600.0,g
P-50473,BRAISED|Beef Short Ribs,8.5,Kg,PREP,8500.0,g
P-44691,BRAISED|cabbage,9.5,Kg,PREP,9500.0,g
P-13890,Bread for toast,30.0,slice,,1500.0,g
P-64672,Bread ratio|popRS,1.0,CT,,45.0,g
P-50725,BREAD|Focaccia|Portion ,32.0,ea,PREP,907.9999999999999,g
P-7523,BREAD|Garlic bread country|1ea,12.0,ea,PREP,340.49999999999994,g
P-62284,BREAD|Garlic cheezey toast|FLX,16.0,ea,,954.0,g
P-48520,BREAD|Garlic|SourDough5/8,22.0,slice,,954.0,g
P-50831,BREADED|Chicken|Karaage Thigh,4.5,Kg,,4500.0,g
P-45062,BREADING|Chick Wings|GFree,7.3,Kg,PREP,7300.0,g
P-50829,BRINE|Pork Belly|overnight,8.0,Kg,,8000.0,g
P-50535,BRINE|Pork|Liquid,43.0,L,,43000.0,ml
P-69856,BRINED|chicken thigh|FNH,150.0,g,,150.0,g
P-51131,BRINED|Pork Butt|Marinated,8.0,Kg,,8000.0,g
P-58362,BRINED|Turkey|Breast,9.0,Kg,PREP,9000.0,g
P-44906,Broccoli-Vegan Cheese Prep,1.275,Kg,,1275.0,g
