ConversionId,Multiplier,ConvertFromQty,ConvertFromUom,ConvertToQty,ConvertToUom
I-1028,0.008333333333333333,1.0,CT,120.0,g
I-1034,0.008333333333333333,1.0,CT,120.0,g
I-1035,0.01,1.0,CT,100.0,g
I-10605,0.008849557522123894,1.0,CT,113.0,g
I-1126,0.006666666666666667,1.0,CT,150.0,g
I-1127,0.006666666666666667,1.0,CT,150.0,g
I-1141,0.013333333333333334,1.0,CT,75.0,g
I-1143,0.013333333333333334,1.0,CT,75.0,g
I-11519,0.02,1.0,bag,50.0,g
I-1152,0.013333333333333334,1.0,CT,75.0,g
I-11842,0.0022026431718061676,1.0,LOAF,454.0,g
I-1207,0.008333333333333333,1.0,CT,120.0,g
I-1223,0.0001,1.0,CT,10000.0,ml
I-1232,0.02,1.0,slice,50.0,g
I-1252,0.00025,1.0,CT,4000.0,ml
I-1254,0.004166666666666667,0.5,CT,120.0,g
I-1257,0.008333333333333333,1.0,CT,120.0,g
I-1273,0.0022026431718061676,1.0,LOAF,454.0,g
I-13004,0.0022026431718061676,1.0,CT,454.0,g
I-15032,0.0022026431718061676,1.0,LOAF,454.0,g
I-15358,0.013333333333333334,1.0,ea,75.0,g
I-17615,0.07142857142857142,1.0,slice,14.0,g
I-17617,0.07142857142857142,1.0,slice,14.0,g
I-17686,0.013333333333333334,1.0,ea,75.0,g
I-18089,0.008333333333333333,1.0,ea,120.0,g
I-18915,0.03333333333333333,1.0,ea,30.0,g
I-19735,0.008333333333333333,1.0,CT,120.0,g
I-2159,0.02,1.0,CT,50.0,g
I-2281,0.00011692307692307692,0.076,650G,650.0,g
I-2306,0.05,1.0,slice,20.0,g
I-2310,0.05,1.0,slice,20.0,g
I-24227,0.0022026431718061676,1.0,LOAF,454.0,g
I-2586,0.008333333333333333,1.0,CT,120.0,g
I-2669,0.0008620689655172414,0.125,PIE,145.0,g
I-28899,0.04,1.0,each,25.0,g
I-28904,0.03333333333333333,1.0,each,30.0,g
I-28907,0.025,1.0,each,40.0,g
I-28920,0.0058823529411764705,1.0,each,170.0,g
I-29663,0.03636363636363636,1.0,ea,27.5,g
I-29665,0.025,1.0,each,40.0,g
I-29688,0.008333333333333333,1.0,ea,120.0,g
I-30178,0.008333333333333333,1.0,SHEET,120.0,g
I-3103,0.03333333333333333,1.0,CT,30.0,g
I-3143,0.00035211267605633805,1.0,can,2840.0,ml
I-32258,0.02,1.0,ea,50.0,g
I-32263,0.03333333333333333,1.0,ea,30.0,g
I-32268,0.02,1.0,ea,50.0,g
I-3387,0.001,1.0,L,1000.0,ml
I-3676,0.00035211267605633805,1.0,LG CAN,2840.0,ml
