Category,Displayed Name,ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g,GHG Only Label,Combined Label
$1 OWN MUG ETHICAL BEAN COFFEE,,R-67294,$1 OWN MUG ETHICAL BEAN COFFEE,BEVERAGE,386.0,131.70831,0.617686,0.0,2.73,555.75,34.12,0.16,0.71,143.98,0.0,Green,Green
ADD CUP,,R-62976,ADD CUP,OK - GRAB & GO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
ADD,Beef,R-31006,ADD|Beef,OK - CUSTOM KITCHEN,85.04849999999999,3516.44079555,28.023480749999997,10.754382825,142.64,5214.24,4134.63,32.95,167.72,6130.9,12.64,Red,Red
ADD,Chicken,R-31131,ADD|Chicken,OK - CUSTOM KITCHEN,85.04849999999999,468.387686711935,12.417476410436862,1.2254512527933672,39.37,35.47,550.73,14.6,46.29,41.71,1.44,Red,Red
ADD,Crackers,R-30154,ADD|Crackers,OK - CUSTOM KITCHEN,5.9999998800000025,9.134999817300004,0.088799998224,0.0293399994131994,2.52,76.93,152.25,1.48,42.0,1282.17,0.49,Green,Yellow
ADD,Fish,R-41877,ADD|Fish,OK - GRILL KITCHEN DAY,220.0000000000022,851.2742987313742,10.65384766976827,0.0,218.5,2491.89,386.94,4.84,99.32,1132.68,0.0,Red,Yellow
ADD,Guacamole,R-32124,ADD|Guacamole,OK - SANDWICH KITCHEN,45.0,24.319912847664668,0.1800030302107674,0.0368646638797643,0.61,22.95,54.04,0.4,1.36,51.0,0.08,Green,Green
ADD,Guacamole.,R-60997,ADD|Guacamole.,OK - SANDWICH KITCHEN,45.0,24.319912847664668,0.1800030302107674,0.0368646638797643,0.61,22.95,54.04,0.4,1.36,51.0,0.08,Green,Green
ADD,Karaage Chicken,R-61591,ADD|Karaage Chicken|4oz,OK - GRILL KITCHEN FEATURES,110.0,446.0273953242631,11.554341108843536,1.1535280653061224,36.8,55.88,405.48,10.5,33.45,50.8,1.05,Red,Red
ADD,Salad,R-41753,ADD|Salad,OK - BURRITO KITCHEN ,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
ADD,Salmon,R-31802,ADD|Salmon,OK - CUSTOM KITCHEN,85.04849999999999,423.5245203,5.978909549999999,0.5868346499999999,134.42,721.5,497.98,7.03,158.05,848.34,0.69,Red,Red
ADD,Spring Roll,R-62500,ADD|Spring Roll,OK - SQUARE MEAL,45.0,22.6305,0.3555,0.05355,3.66,132.28,50.29,0.79,8.13,293.96,0.12,Green,Green
ADD,TACO,R-61581,ADD|TACO|Pulled Jackfruit,OK - SQUARE MEAL,213.5000000000004,309.5928366809213,2.5528777801499927,0.943401498873122,64.69,1986.08,145.01,1.2,30.3,930.25,0.44,Green,Green
ADD,TACO,R-61578,ADD|TACO|Tempura Prawn,OK - SQUARE MEAL,213.5000000000004,899.1771314976731,4.645753272879585,1.0257811561775438,112.09,3431.12,421.16,2.18,52.5,1607.08,0.48,Red,Yellow
ADD,Tofu,R-31132,ADD|Tofu,OK - CUSTOM KITCHEN,85.0,149.107,0.5015000000000001,0.3519,0.56,2.75,175.42,0.59,0.66,3.24,0.41,Green,Green
ALF, Shepherds Pie,R-45844,ALF| Shepherds Pie,OK - AL FORNO,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49,Green,Yellow
ALF,Aspar. & Asia Quiche,R-41719,ALF|Aspar. & Asia Quiche,OK - AL FORNO,1.0,3.6615,0.0612,0.00684,0.63,18.62,366.15,6.12,63.0,1862.0,0.68,Yellow,Red
ALF,Baked,R-28350,ALF|Baked|Mushroom Alfredo,OK - AL FORNO,300.0,438.7450265220879,3.764724961751032,1.1300780288447847,76.27,2590.0,146.25,1.25,25.42,863.33,0.38,Green,Green
ALF,Brisket Flatbread,R-61010,ALF|Brisket Flatbread|TAILGATE,SPECIALS,309.01,3100.908549375,26.731120448717952,7.944984149038457,241.5,10676.8,1003.5,8.65,78.15,3455.16,2.57,Red,Red
ALF,Cubano Flatread,R-61002,ALF|Cubano Flatread|TAILGATE,OK - SQUARE MEAL,267.00000084,1773.103353333575,19.91067859915457,3.4431725802767623,295.33,10443.47,664.08,7.46,110.61,3911.41,1.29,Red,Red
ALF,Flatbread,R-60471,ALF|Flatbread| Brisket,SPECIALS,309.01,3100.908549375,26.731120448717952,7.944984149038457,241.5,10676.8,1003.5,8.65,78.15,3455.16,2.57,Red,Red
