PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom,GHG Emission (g),GHG Emission(g)/StdUom,N lost (g),N lost (g)/StdUom,Freshwater Withdrawals (ml),Freshwater Withdrawals (ml)/StdUom,Stress-Weighted Water Use (ml),Stress-Weighted Water Use (ml)/StdUom,Land Use (m^2),Land Use (m^2)/StdUom
P-44338,2K18 - Sumac & Garlic Potatoes,21.0,Kg,,21000.0,g,9538.4928542,0.45421394543809523,115.9733442,0.0055225402,74064.2574,3.5268694000000003,2343788.421,111.60897242857143,13.619943619999999,0.0006485687438095237
P-43744,2K18 - Thai Larb (Pork),6.5,Kg,FEAST,6500.0,g,51388.682823158226,7.905951203562804,689.5137269660787,0.10607903491785826,9114332.671524456,1402.2050263883777,273384442.15624815,42059.1449471151,111.83229291643345,0.01720496814098976
P-44639,ADDlSoutheast Braised Beef,35.0,Kg,FEAST,35000.0,g,1044291.4068258201,29.836897337880576,8384.505867294492,0.23955731049412834,42238571.00570197,1206.8163144486275,1537587799.3273327,43931.07998078094,3181.1983036302704,0.09089138010372201
P-65630,AQlCreme Caramel,6.0,PTN,,918.0,g,4344.084000000001,4.732117647058824,23.22,0.02529411764705882,110883.5,120.78812636165577,18056436.0,19669.320261437908,5.36815,0.0058476579520697165
P-65625,AQlCreme Caramel(Flan),1.0,L,,1000.0,ml,4205.134610596098,4.205134610596098,23.67360007257601,0.02367360007257601,115874.20100531216,115.87420100531216,18274300.036167044,18274.300036167046,5.139960011289602,0.005139960011289602
P-65629,AQlCremeCaramel(Caramel),100.0,ml,,100.0,ml,205.17499999999998,2.0517499999999997,0.0,0.0,1292.5,12.925,8180.0,81.8,0.29875,0.0029875
P-65590,AQlMiso Marinade,1.34,L,,1340.0,ml,1183.480856269113,0.883194668857547,6.872262996941896,0.005128554475329773,16401.530581039755,12.239948194805788,640662.9403669725,478.1066719156511,2.681655963302752,0.0020012357935095164
P-65591,AQlSalmon Miso,1.0,piece,,227.0,g,542.3516700328632,2.3892144054311157,7.546303317129946,0.033243626947709014,168111.7242229221,740.5802829203616,908532.8500787348,4002.3473571750433,0.7631435369026427,0.0033618658013332275
P-65594,AQlTofu Marinade,223.0,ml,,223.0,ml,177.06096,0.7939953363228699,0.879916,0.003945811659192825,2904.851,13.026237668161436,144163.805,646.474461883408,0.0978512,0.0004387946188340807
P-67545,BAKED|4 Cheese Penne,12.0,Kg,,12000.0,g,20938.742754531824,1.7448952295443187,190.90647130979963,0.015908872609149968,3854321.080823224,321.1934234019353,172310416.7098269,14359.201392485575,42.869707918767574,0.0035724756598972977
P-71855,BAKED|Basil puff pastry,300.0,each,,16200.0,g,4821.180600000014,0.29760374074074164,45.56850000000014,0.002812870370370379,1107147.400000004,68.34243209876568,35778037.400000125,2208.5208271605015,13.192999999999804,0.0008143827160493706
P-26184,BAKED|Beans,9.0,Kg,PREP,9000.0,g,13475.50318148148,1.49727813127572,38.98514814814815,0.0043316831275720166,41110.42962962963,4.567825514403292,1836771.414814815,204.08571275720166,64.80122185185185,0.007200135761316872
P-56706,BAKED|Fish Greek Style,1.0,Kg,,1000.0,g,7598.020748175841,7.59802074817584,87.67425095263651,0.0876742509526365,2015552.79333046,2015.5527933304602,15596648.712609319,15596.64871260932,14.910754188591923,0.014910754188591923
P-26965,BAKED|Jalapeno Ched Cornbread,15.0,Kg,PREP,1440.0,g,23757.777142857143,16.49845634920635,236.16142857142856,0.16400099206349206,5557025.714285715,3859.045634920635,195460651.42857143,135736.5634920635,60.027999999999004,0.04168611111111042
P-67674,BAKED|Loaded Sweet Potatoes,6.0,each,,780.0,g,823.1052884615385,1.0552631903353058,8.316294871794872,0.010661916502301118,57596.448717948726,73.84160092044708,2463284.6837606835,3158.0572868726713,2.0185856837606835,0.002587930363795748
P-54666,BAKED|Pasta|Chicken Alfredo,6.176,Kg,,6176.0,g,17657.751270417422,2.859091850780023,220.72507078039928,0.03573916301496102,2698940.345735027,437.00458965916886,114860316.47640654,18597.849170402613,30.145279582576883,0.004881036201842112
P-54664,BAKED|Pasta|Chorizo Penne,7.36,Kg,,7360.0,g,21899.76690479788,2.9755118077171034,260.65052386726273,0.035414473351530265,3971502.5908185593,539.6063302742608,151673126.65941346,20607.761774376828,40.87326394838374,0.005553432601682573
P-56502,BAKED|Pasta|Shrimp Pesto,6.75,Kg,,6750.0,g,33650.427086206895,4.985248457215836,201.20946351724137,0.029808809409961685,2848089.742203448,421.93922106717747,175806246.5451276,26045.369858537422,32.530713793103324,0.0048193650063856775
P-26318,BAKED|Puff Pastry,10.0,ea,ZDONT USE OK - PREP,490.0,g,1066.5720430134447,2.1766776388029485,9.836414251861374,0.02007431479971709,234014.00988066636,477.5796120013599,7613876.677781182,15538.523832206494,2.866847559065781,0.00585070930421588
P-51235,BAKED|Rockfish,4.5,Kg,,4500.0,g,25213.06657142857,5.602903682539683,351.58914285714286,0.07813092063492064,7902868.571428572,1756.193015873016,42420333.71428572,9426.740825396826,35.80408571428572,0.007956463492063493
P-54572,BAKED|Rockfish Escovitch(Test),4.5,Kg,,4500.0,g,25359.07657142857,5.635350349206349,352.60164285714285,0.07835592063492064,7909453.571428572,1757.6563492063492,42472773.71428572,9438.39415873016,36.06508571428572,0.008014463492063494
P-67284,BAKED|Russet Potato,100.0,each,,17000.0,g,15342.177039551487,0.902481002326558,184.56873115663979,0.010856984185684693,96326.61163002413,5.6662712723543605,2892931.0513415504,170.17241478479707,22.48683661171911,0.0013227550948070065
