ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-47209,5 spice powder|spice,FT HOMESKILLET,453.592,4250.2931176,3.0617460000000003,14.061352,11.29,99.93,937.03,0.68,2.49,22.03,3.1
R-55408,ADD|Cheese,FEAST,14.000000280000005,124.74560249491203,1.3062000261240005,0.14644000292880005,21.83,1126.48,891.04,9.33,155.93,8046.29,1.05
R-63588,ADD|CHICKEN ,FT GRAB & GO,113.4000000000011,692.861064795925,17.522309948979757,1.8862234693877729,55.56,50.17,610.99,15.45,48.99,44.24,1.66
R-63593,ADD|Chicken Strip Dip,FT SIDES ,45.0,23.84286572251604,0.1910653681042781,0.004899582254278079,0.63,33.17,52.98,0.42,1.4,73.71,0.01
R-65790,ADD|Chili|TAILGATE,SPECIALS,65.0,959.7663503060596,7.770525456650962,2.96820033133643,41.24,1560.07,1476.56,11.95,63.45,2400.11,4.57
R-22896,ADD|Crackers,FEAST,5.9999998800000025,9.134999817300004,0.08879999822400003,0.02933999941319941,2.52,76.93,152.25,1.48,42.0,1282.17,0.49
R-62187,ADD|Fried Egg,FT STICKS AND SPOONS,55.2,199.8738028571429,3.061385714285714,0.42292142857142856,31.65,931.13,362.09,5.55,57.34,1686.83,0.77
R-56809,ADD|Guacamole ,FT SIDES ,60.0,34.58586284979769,0.24315010883131416,0.05363615359626299,1.12,47.11,57.64,0.41,1.87,78.52,0.09
R-62363,ADD|Havarti|1 SLICE,FEAST,14.000000000000007,124.74560000000005,1.3062000000000007,0.14644000000000007,21.83,1126.48,891.04,9.33,155.93,8046.29,1.05
R-56468,ADD|Kimchi,ADD ONS,30.0,18.66,0.237,0.069,1.64,74.5,62.2,0.79,5.47,248.33,0.23
R-62301,ADD|Perogy|SIDE (4pc),FT SIDES ,180.0,540.468,3.0468,0.46799999999999997,31.71,2775.81,300.26,1.69,17.62,1542.12,0.26
R-44853,ADD|Poached Egg,FEAST,50.0,183.07500000000002,3.06,0.34199999999999997,31.64,931.05,366.15,6.12,63.28,1862.1,0.68
R-61856,ADD|Prawns,FEAST,90.0,2143.55307375,7.141320000000001,0.31023337500000003,122.58,4940.97,2381.73,7.93,136.2,5489.97,0.34
R-64375,ADD|SHRIMP,FEAST,90.0,2006.8164058969164,6.372856283055514,0.4520665001444025,108.97,4391.66,2229.8,7.08,121.08,4879.62,0.5
R-65788,ADD|Tailgate cheddar,SPECIALS,45.0,400.96799999999996,4.1985,0.4707,70.17,3620.84,891.04,9.33,155.93,8046.31,1.05
R-61659,ALF|Pasta|Cauliflower Cheese,OK - AL FORNO,300.0,670.9898087878073,6.432145578016259,1.0629457576097232,93.99,4358.2,223.66,2.14,31.33,1452.73,0.35
R-56505,ALF|Pasta|Chicken Alfredo,OK - AL FORNO,380.0,1086.4549032964087,13.580881945685189,1.8547937567000023,166.06,7067.18,285.91,3.57,43.7,1859.78,0.49
