IngredientId,Qty,Uom,Conversion,InvFactor,Recipe
P-9857,5.000,Kg,1.00000000,1.1111,P-10112
P-48933,1.000,Kg,1.00000000,1.0000,P-10113
I-4626,16.000,CT,1.00000000,2.6667,P-10115
P-9755,1.000,lb,1.00000000,1.0000,P-10119
P-18746,1.000,Kg,1.00000000,1.0000,P-10241
P-18746,1.000,Kg,1.00000000,1.0000,P-10242
P-18746,1.000,Kg,1.00000000,1.0000,P-10243
I-3388,100.000,ml,0.00100000,2.5000,P-10264
I-37842,9.070,Kg,1.00000000,0.2268,P-10264
I-5983,40.000,L,1.00000000,1.0000,P-10264
I-3388,1.000,L,1.00000000,0.3058,P-10496
I-4658,2.270,Kg,2.20462000,0.6942,P-10496
I-1813,30.000,ml,0.03381406,9.3750,P-10502
I-6026,15.000,g,1.00000000,4.6875,P-10502
I-60772,3.000,L,1.00000000,0.9375,P-10502
P-41466,200.000,g,1.00000000,62.5000,P-10502
P-6605,100.000,g,0.00100000,31.2500,P-10502
P-45879,7.500,Kg,1.00000000,1.8750,P-10873
I-12176,4.000,g,0.00100000,0.3636,P-12112
I-1813,400.000,ml,0.03381406,36.3636,P-12112
I-3337,4.000,L,1.00000000,0.3636,P-12112
I-3387,100.000,ml,0.00100000,9.0909,P-12112
I-3447,199.000,ml,1.00000000,18.0909,P-12112
I-3507,6.000,L,1.00000000,0.5455,P-12112
I-3639,30.000,g,1.00000000,2.7273,P-12112
I-3642,4.000,g,1.00000000,0.3636,P-12112
I-3658,350.000,g,0.00100000,31.8182,P-12112
I-47774,200.000,ml,0.00100000,18.1818,P-12112
I-13327,0.750,pak,1.00000000,0.0125,P-12392
I-1559,15.000,ml,0.00100000,0.2500,P-12392
I-1561,15.000,ml,0.00100000,0.2500,P-12392
I-1564,15.000,ml,0.00100000,0.2500,P-12392
I-2217,3.000,ml,0.00100000,0.0500,P-12392
I-2501,0.250,pak,1.00000000,0.0042,P-12392
I-65799,3.000,ml,1.00000000,0.0500,P-12392
I-12176,10.000,g,0.00100000,0.0952,P-12421
I-2911,5.000,g,0.00100000,0.0476,P-12421
I-3629,5.000,g,0.03527399,0.0476,P-12421
I-3630,5.000,g,0.03527399,0.0476,P-12421
I-3640,75.000,g,1.00000000,0.7143,P-12421
I-3642,5.000,g,1.00000000,0.0476,P-12421
I-10871,2.000,lb,1.00000000,0.1000,P-12427
I-3387,74.000,ml,0.00100000,3.7000,P-12427
I-3435,0.500,L,1.00000000,0.0250,P-12427
I-3619,5.000,g,1.00000000,0.2500,P-12427
I-3649,20.000,g,1.00000000,1.0000,P-12427
I-4381,2.000,lb,1.00000000,0.1000,P-12427
I-4599,1.000,HEAD,1.00000000,0.0500,P-12427
I-4847,1.000,oz,0.06250000,0.0500,P-12427
I-4919,1.000,oz,0.06250000,0.0500,P-12427
I-5983,35.000,L,1.00000000,1.7500,P-12427
I-6781,20.000,Kg,1.00000000,1.0000,P-12427
I-7061,2.000,L,1.00000000,0.1000,P-12427
I-9662,40.000,lb,0.45359200,2.0000,P-12427
I-1468,0.250,fl oz,1.00000000,0.2500,P-12434
I-6020,1.000,oz,0.06250000,1.0000,P-12434
I-7061,2.000,cup,0.22720000,2.0000,P-12434
P-12435,2.000,L,1.00000000,2.0000,P-12434
P-12427,20.000,L,1.00000000,5.0000,P-12435
I-3435,1.000,Kg,1.01284000,0.0500,P-12502
I-3992,20.000,Kg,1.00000000,1.0000,P-12502
I-4589,1.000,Kg,2.20462000,0.0500,P-12502
I-4598,1.000,Kg,1.25000000,0.0500,P-12502
I-4745,2.000,Kg,2.20462000,0.1000,P-12502
I-5983,25.000,L,1.00000000,1.2500,P-12502
I-4598,1.000,CT,1.00000000,0.0013,P-12954
I-14177,227.000,g,0.00100000,9.4583,P-13019
I-2159,3.000,ea,1.00000000,0.1250,P-13019
I-2218,500.000,ml,0.00100000,20.8333,P-13019
I-3291,375.000,g,0.00100000,15.6250,P-13019
I-3449,100.000,ml,0.00100000,4.1667,P-13019
I-3660,50.000,g,0.00100000,2.0833,P-13019
I-6026,20.000,g,1.00000000,0.8333,P-13019
I-8060,0.500,g,1.00000000,0.0208,P-13019
P-9738,136.000,g,0.00100000,5.6667,P-13019
I-3838,4.000,Kg,1.00000000,1.3333,P-13389
P-12421,100.000,g,1.00000000,33.3333,P-13389
P-38515,0.500,Kg,1.00000000,0.1667,P-13389
P-9719,0.500,Kg,2.20462000,0.1667,P-13389
P-9784,0.500,Kg,1.00000000,0.1667,P-13389
I-3692,1.500,L,1.00000000,0.1875,P-13457
I-11842,2.000,LOAF,1.00000000,0.8818,P-13648
I-3388,125.000,ml,0.00100000,55.1146,P-13648
P-18907,10.000,g,1.00000000,4.4092,P-13648
I-33795,1.000,Kg,2.20462000,1.1765,P-13842
I-12180,1.000,CT,1.00000000,0.0333,P-13850
I-2661,1.000,PIE,1.00000000,0.0333,P-13850
I-2662,1.000,PIE,1.00000000,0.0333,P-13850
I-2664,1.000,PIE,1.00000000,0.0333,P-13850
I-2667,1.000,PIE,1.00000000,0.0333,P-13850
I-10282,1.000,Kg,2.20462000,1.2500,P-13881
I-11664,10.000,slice,0.03448276,0.3333,P-13890
I-12478,10.000,slice,1.00000000,0.3333,P-13890
I-1274,10.000,slice,1.00000000,0.3333,P-13890
I-3451,2.560,L,1.00000000,1.2800,P-13933
I-4507,1.000,piece,1.00000000,1.0000,P-13944
P-8429,1.000,Kg,1.00000000,0.2500,P-14067
P-8430,1.000,Kg,1.00000000,0.2500,P-14067
P-8795,1.000,Kg,1.00000000,0.2500,P-14067
P-8800,1.000,Kg,1.00000000,0.2500,P-14067
I-2156,1.000,Kg,1.00000000,1.0000,P-14069
I-5983,100.000,ml,0.00100000,100.0000,P-14069
I-17680,0.200,bag,1.00000000,0.0333,P-14076
I-29346,100.000,g,1.00000000,16.6667,P-14076
I-29347,100.000,g,1.00000000,16.6667,P-14076
I-29348,100.000,g,1.00000000,16.6667,P-14076
I-3187,100.000,g,1.00000000,16.6667,P-14076
I-34504,100.000,g,1.00000000,16.6667,P-14076
I-17680,0.400,bag,1.00000000,0.0667,P-14077
I-29346,200.000,g,1.00000000,33.3333,P-14077
I-29347,200.000,g,1.00000000,33.3333,P-14077
I-29348,200.000,g,1.00000000,33.3333,P-14077
I-3187,200.000,g,1.00000000,33.3333,P-14077
I-34504,200.000,g,1.00000000,33.3333,P-14077
I-2113,1.009,oz,0.02834950,0.5045,P-14135
I-3619,5.000,g,1.00000000,0.5000,P-14161
I-3649,10.000,g,1.00000000,1.0000,P-14161
I-3992,5.000,Kg,1.00000000,0.5000,P-14161
I-4590,907.184,g,0.00220462,90.7184,P-14161
I-4599,1.000,HEAD,1.00000000,0.1000,P-14161
I-4742,907.184,g,0.00220462,90.7184,P-14161
I-4919,56.699,g,0.00220462,5.6699,P-14161
I-5983,12.000,L,1.00000000,1.2000,P-14161
I-3334,1.000,Kg,1.00000000,0.0038,P-14192
I-5983,6.500,L,1.00000000,0.0246,P-14192
I-3182,90.000,g,0.00100000,90.0000,P-14199
I-5983,750.000,ml,0.00100000,250.0000,P-14200
P-14199,325.000,ml,0.00422676,108.3333,P-14200
I-2658,17.500,Kg,1.00000000,0.0324,P-14366
I-1471,0.250,Kg,2.20462000,0.1667,P-15325
I-2852,0.250,Kg,1000.00000000,0.1667,P-15325
I-3622,0.250,Kg,1.00000000,0.1667,P-15325
I-3630,0.250,Kg,35.27399000,0.1667,P-15325
I-5978,0.250,Kg,1000.00000000,0.1667,P-15325
P-18907,0.250,Kg,1000.00000000,0.1667,P-15325
I-3363,5.000,Kg,2.20462000,1.0000,P-15353
I-5983,1.750,L,1.00000000,0.3500,P-15353
I-4786,10.000,Kg,2.20462000,1.2048,P-16391
I-2141,1.000,Kg,1.00000000,0.0667,P-16986
P-26019,30.000,g,1.00000000,2.0000,P-16986
