ProdId,Description,SalesGroup
R-44735,ADD|Arugula|Omelet,ADD ONS
R-16241,ADD|Beef Patty,GV GRILL DAY
R-44780,ADD|Condiment House Made,ADD ONS
R-13180,ADD|Crackers,ADD ONS
R-44739,ADD|Creamed Spin|Omelet,ADD ONS
R-44765,ADD|Gravy|3oz,GV GRILL DAY
R-57388,ADD|Gravy|plant based,FOOD
R-41489,ADD|Marshmallow,ADD ONS
R-46996,ADD|Pulled Pork,GV GRILL DAY
R-42493,ADD|Sour Cream & Salsa,ADD ONS
R-51303,ALF|Pasta|Chorizo Penne,OK - AL FORNO
R-52829,BBC|Baked yogurt|POP,SPECIALS
R-52828,BBC|High tideline salad|POP,SPECIALS
R-12393,BEV|Coffee|12 oz,BEVERAGE
R-12394,BEV|Coffee|16 oz,BEVERAGE
R-67307,BEV|Coffee|Ethical Bean Promo,BEVERAGE
R-53768,BEV|Cold Brew|Two Bears|Black,BEVERAGE
R-52932,BEV|Cold Brew|Two Bears|Black,BEVERAGE
R-53769,BEV|Cold Brew|Two Bears|Mocha,BEVERAGE
R-53073,BEV|Core Power|Asst,BEVERAGE
R-64333,BEV|Core Power|Banana,BEVERAGE
R-37761,BEV|Core Power|Chocolate,BEVERAGE
R-62981,BEV|Core Power|Chocolate|Elite,BEVERAGE
R-64153,BEV|Core Power|StrawberryBana,BEVERAGE
R-38098,BEV|Core Power|StrawberryBanan,BEVERAGE
R-38035,BEV|Core Power|Vanilla,BEVERAGE
R-45971,BEV|Fruit Water|Black Cherry,BEVERAGE
R-45972,BEV|Fruit Water|Peach Mango,BEVERAGE
R-45973,BEV|Fruit Water|Pineapple ,BEVERAGE
R-37748,BEV|Happy Planet|Blackberry,BEVERAGE
R-38280,BEV|Happy Planet|Coconut Pinea,BEVERAGE
R-58276,BEV|Happy Planet|Extreme 'C',BEVERAGE
R-37786,BEV|Happy Planet|Extreme Energ,BEVERAGE
R-38524,BEV|Happy Planet|Extreme Green,BEVERAGE
R-37749,BEV|Happy Planet|Mango Passion,BEVERAGE
R-37743,BEV|Happy Planet|Raspberry,BEVERAGE
R-45985,BEV|Hot Chocolate|Package,BEVERAGE
R-47498,BEV|Ice Tea|Gold Peak|Green,BEVERAGE
R-34518,BEV|Ice Tea|Gold Peak|Lemon,BEVERAGE
R-47748,BEV|Ice Tea|Gold Peak|Peach,BEVERAGE
R-38528,BEV|Ice Tea|Gold Peak|Raspberr,BEVERAGE
R-38527,BEV|Ice Tea|Gold Peak|Unsweet,BEVERAGE
R-37825,BEV|Ice Tea|Nestea|Green|500ml,BEVERAGE
R-37759,BEV|Ice Tea|Nestea|Half|500ml,BEVERAGE
